Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,modularity_class,eigencentrality
Ixepimentel,Ixepimentel,,0,2,2,0,2,2,12,0.188255,0.215381,0,0,0.003875,0.00002,24,0
anacarollinels,anacarollinels,,0,1,1,0,1,1,10,0.273962,0.312593,0,0,0.000386,0.00002,24,0
Wagner_Vianna_,Wagner_Vianna_,,0,3,3,0,3,3,2,0.636364,0.714286,0,0,0.012636,0.00002,35,0
renanmoreira83,renanmoreira83,,0,1,1,0,1,1,2,0.666667,0.75,0,0,0.000014,0.00002,24,0
httptoxicc,httptoxicc,,0,1,1,0,1,1,1,1,1,0,0,0.000133,0.00002,24,0
escobarj290,escobarj290,,0,1,1,0,1,1,2,0.666667,0.75,0,0,0,0.00002,65,0
lp_kari,lp_kari,,0,1,1,0,1,1,1,1,1,0,0,0,0.00002,78,0
anibaledesma,anibaledesma,,0,1,1,0,1,1,1,1,1,0,0,0.000432,0.00002,24,0
ANTONYOBsoares,ANTONYOBsoares,,0,1,1,0,1,1,1,1,1,0,0,0.001071,0.00002,35,0
alanbarretoso,alanbarretoso,,0,4,4,0,5,5,10,0.242787,0.272817,0,0,0.003183,0.00002,35,0
EMERSONCOL,EMERSONCOL,,0,1,1,0,1,1,12,0.187945,0.212952,0,0,0.003399,0.00002,486,0
daniel_ito21,daniel_ito21,,0,1,1,0,1,1,1,1,1,0,0,0.000232,0.00002,466,0
isabelacarlaa,isabelacarlaa,,0,2,2,0,2,2,10,0.274541,0.314591,0,0,0.000411,0.00002,35,0
CzarAug81484940,CzarAug81484940,,0,2,2,0,2,2,12,0.183565,0.20337,0,0,0.000658,0.00002,84,0
ArthurS87630809,ArthurS87630809,,0,1,1,0,1,1,1,1,1,0,0,0.000012,0.00002,24,0
Henriqu61891575,Henriqu61891575,,0,17,17,0,21,21,9,0.247496,0.303913,0,0,0.027365,0.00002,486,0
XYSB1971,XYSB1971,,0,1,1,0,1,1,2,0.666667,0.75,0,0,0,0.00002,65,0
Janamuniiz,Janamuniiz,,0,5,5,0,5,5,11,0.245,0.295843,0,0,0.007183,0.00002,24,0
Jos65983040,Jos65983040,,0,1,1,0,1,1,1,1,1,0,0,0.000001,0.00002,555,0
andrelu81530681,andrelu81530681,,0,1,1,0,1,1,1,1,1,0,0,0,0.00002,555,0
goulart_lenita,goulart_lenita,,23,0,23,23,0,23,0,0,0,0,0.000004,0,0.000314,555,0.00502
ivonepita,ivonepita,,1,1,2,1,1,2,1,1,1,2.5,0.000013,0.003103,0.000028,437,0.000233
JTrevorRobinson,JTrevorRobinson,,0,1,1,0,1,1,1,1,1,0,0,0,0.00002,129,0
Steampunk_T,Steampunk_T,,1,0,1,1,0,1,0,0,0,0,0,0,0.000038,129,0.000218
ElsLliures,ElsLliures,,1,0,1,1,0,1,0,0,0,0,0,0,0.000052,128,0.000223
julezzzss,julezzzss,,0,1,1,0,1,1,1,1,1,0,0,0.000322,0.00002,24,0
CarinaVanucci,CarinaVanucci,,0,1,1,0,1,1,2,0.666667,0.75,0,0,0.000476,0.00002,24,0
aroggerio,aroggerio,,0,2,2,0,3,3,1,1,1,0,0,0.00005,0.00002,555,0
hercules_re,hercules_re,,0,2,2,0,2,2,12,0.184013,0.20474,0,0,0.001094,0.00002,84,0
IreneCruzLima1,IreneCruzLima1,,0,1,1,0,1,1,1,1,1,0,0,0.011515,0.00002,445,0
_tarcis_,_tarcis_,,0,1,1,0,1,1,12,0.187945,0.212952,0,0,0.003399,0.00002,486,0
bitxobdn,bitxobdn,,0,1,1,0,1,1,1,1,1,0,0,0,0.00002,178,0
Ellen_Colucci,Ellen_Colucci,,0,3,3,0,3,3,12,0.191136,0.22297,0,0,0.00508,0.00002,84,0
Pedromartins068,Pedromartins068,,0,1,1,0,1,1,12,0.187945,0.212952,0,0,0.003399,0.00002,486,0
PauloSa55860753,PauloSa55860753,,0,1,1,0,1,1,1,1,1,0,0,0.000006,0.00002,555,0
ma_alencars,ma_alencars,,0,1,1,0,1,1,1,1,1,0,0,0.000849,0.00002,24,0
WeltonCAlves,WeltonCAlves,,0,4,4,0,5,5,12,0.162868,0.186215,0,0,0.014007,0.00002,445,0
mrlteixeira,mrlteixeira,,0,4,4,0,4,4,1,1,1,0,0,0.016179,0.00002,35,0
KenioMarcos,KenioMarcos,,0,16,16,0,16,16,11,0.228819,0.282679,0,0,0.029415,0.00002,486,0
walzelyo,walzelyo,,0,2,2,0,2,2,1,1,1,0,0,0.002598,0.00002,24,0
